id_currency, [date], rate
CNY, 20-01-2018, 88.3682
NOK, 20-01-2018, 72.2326
TRY, 20-01-2018, 14.9790
JPY, 20-01-2018, 51.1726
GBP, 21-01-2018, 78.8231
USD, 21-01-2018, 56.5892
EUR, 21-01-2018, 69.3953
CAD, 21-01-2018, 45.5703
CNY, 21-01-2018, 88.3682
NOK, 21-01-2018, 72.2326
TRY, 21-01-2018, 14.9790
JPY, 21-01-2018, 51.1726
GBP, 22-01-2018, 78.8231
USD, 22-01-2018, 56.5892
EUR, 22-01-2018, 69.3953
CAD, 22-01-2018, 45.5703
CNY, 22-01-2018, 88.3682
NOK, 22-01-2018, 72.2326
TRY, 22-01-2018, 14.9790
JPY, 22-01-2018, 51.1726
GBP, 23-01-2018, 78.6650
USD, 23-01-2018, 56.6261
EUR, 23-01-2018, 69.2650
CAD, 23-01-2018, 45.3953
CNY, 23-01-2018, 88.4424
NOK, 23-01-2018, 72.2014
TRY, 23-01-2018, 14.8637
JPY, 23-01-2018, 51.0835
GBP, 24-01-2018, 78.6940
USD, 24-01-2018, 56.4115
EUR, 24-01-2018, 69.0702
CAD, 24-01-2018, 45.1689
CNY, 24-01-2018, 88.1003
NOK, 24-01-2018, 71.6455
TRY, 24-01-2018, 14.8545
JPY, 24-01-2018, 50.8418
GBP, 25-01-2018, 79.2037
USD, 25-01-2018, 56.3888
EUR, 25-01-2018, 69.4484
CAD, 25-01-2018, 45.4675
CNY, 25-01-2018, 88.2730
NOK, 25-01-2018, 72.2470
TRY, 25-01-2018, 15.0330
JPY, 25-01-2018, 51.3255
GBP, 26-01-2018, 79.7097
USD, 26-01-2018, 55.9288
EUR, 26-01-2018, 69.4580
CAD, 26-01-2018, 45.3894
CNY, 26-01-2018, 88.3440
NOK, 26-01-2018, 72.3230
TRY, 26-01-2018, 14.9255
JPY, 26-01-2018, 51.2521
GBP, 27-01-2018, 79.4555
USD, 27-01-2018, 55.8288
EUR, 27-01-2018, 69.6073
CAD, 27-01-2018, 45.3266
CNY, 27-01-2018, 88.3381
NOK, 27-01-2018, 72.6559
TRY, 27-01-2018, 14.9391
JPY, 27-01-2018, 51.2308
GBP, 28-01-2018, 79.4555
USD, 28-01-2018, 55.8288
EUR, 28-01-2018, 69.6073
CAD, 28-01-2018, 45.3266
CNY, 28-01-2018, 88.3381
NOK, 28-01-2018, 72.6559
TRY, 28-01-2018, 14.9391
JPY, 28-01-2018, 51.2308
GBP, 29-01-2018, 79.4555
USD, 29-01-2018, 55.8288
EUR, 29-01-2018, 69.6073
CAD, 29-01-2018, 45.3266
CNY, 29-01-2018, 88.3381
NOK, 29-01-2018, 72.6559
TRY, 29-01-2018, 14.9391
JPY, 29-01-2018, 51.2308
GBP, 30-01-2018, 79.5220
USD, 30-01-2018, 56.2908
EUR, 30-01-2018, 69.8513
CAD, 30-01-2018, 45.5759
CNY, 30-01-2018, 88.9692
NOK, 30-01-2018, 73.0869
TRY, 30-01-2018, 14.8878
JPY, 30-01-2018, 51.6595
GBP, 31-01-2018, 78.8417
USD, 31-01-2018, 56.2914
EUR, 31-01-2018, 69.5424
